Raman_Shift_cm-1,Mud_Tank_SM
601.0869,-0.469902
602.0511,0.4976227
603.0154,0.9422424
603.9796,0.7165634
604.9438,0.202327
605.9081,-0.858786
606.8723,-1.823462
607.8365,-2.191341
608.8008,-1.841547
609.765,-1.307414
610.7292,-1.044859
611.6935,-0.9428436
612.6577,-1.032713
613.6219,-1.249095
614.5862,-1.378742
615.5504,-0.9925812
616.5146,0.004425049
617.4789,0.4647781
618.4431,0.1188583
619.4073,-0.5241669
620.3716,-0.7903274
621.3358,-0.5686477
622.3,-0.2049667
623.2643,0.5250519
624.2285,1.168794
625.1927,1.494377
626.157,1.433582
627.1212,1.026659
628.0854,-0.4570084
629.0497,-1.784582
630.0139,-1.982273
630.9781,-1.08828
631.9424,0.1936386
632.9066,0.8910583
633.8708,0.9415329
634.8351,0.7959793
635.7993,0.3448914
636.7635,-0.000549316
637.7278,0.2383469
638.692,1.210811
639.6563,2.315927
640.6205,4.02772
641.5847,5.349373
642.549,5.75054
643.5132,5.223874
644.4774,4.261594
645.4417,2.590593
646.4059,1.128984
647.3701,0.6980011
648.3344,1.000697
649.2986,1.146558
650.2628,0.1228699
651.2271,-1.765607
652.1913,-2.228378
653.1555,-1.234128
654.1198,-0.1408173
655.084,-0.05668182
656.0482,-1.126498
657.0125,-1.833836
657.9767,-2.257376
658.9409,-2.269137
659.9052,-1.503876
660.8694,-0.2604233
661.8336,0.6020905
662.7979,0.4065475
663.7621,0.0674942
664.7263,0.1971008
665.6906,0.5895126
666.6548,0.9577133
667.619,1.085428
668.5833,0.9417114
669.5475,0.2559509
670.5117,-0.8470963
671.476,-1.741195
672.4402,-2.157309
673.4044,-2.136744
674.3687,-1.87
675.3329,-0.6254807
676.2971,-0.06169434
677.2614,-0.8777428
678.2256,-2.177956
679.1898,-2.668187
680.1541,-1.673714
681.1183,-0.6879532
682.0825,-0.8853248
683.0468,-1.469242
684.011,-1.773445
684.9752,-1.527322
685.9395,-0.9540863
686.9037,-0.4568314
687.8679,-0.02571259
688.8322,0.3332794
689.7964,0.619783
690.7606,0.8068894
691.7249,0.8281723
692.6891,0.5182129
693.6533,0.3891144
694.6176,0.4909805
695.5818,0.7535232
696.546,1.248634
697.5103,1.94561
698.4745,2.410663
699.4387,1.791322
700.403,1.238277
701.3672,1.735297
702.3314,3.006427
703.2957,4.028978
704.2599,3.615681
705.2241,1.99808
706.1884,1.208377
707.1526,1.245671
708.1168,1.588719
709.0811,2.064206
710.0453,2.719055
711.0095,2.616271
711.9738,0.7123429
712.938,-0.7457924
713.9022,-1.161523
714.8665,-0.824736
715.8307,-0.3446732
716.7949,0.03119507
717.7592,0.4617355
718.7234,1.383076
719.6876,2.295888
720.6519,2.485915
721.6161,1.6464
722.5803,0.2270279
723.5446,-0.5408462
724.5088,-0.6745033
725.473,-0.6881439
726.4373,-0.6014732
727.4015,-0.4876228
728.3657,-0.5246826
729.33,-0.9089928
730.2942,-0.9539253
731.2584,-0.1727531
732.2227,0.5145508
733.1869,0.337645
734.1511,-0.7348175
735.1154,-1.723499
736.0796,-1.666014
737.0438,-1.272785
738.0081,-0.994188
738.9723,-0.9109077
739.9365,-1.076949
740.9008,-1.561041
741.865,-2.329173
742.8292,-2.53326
743.7935,-2.08487
744.7577,-1.593742
745.7219,-1.403446
746.6862,-1.460401
747.6504,-1.347167
748.6146,-0.8894531
749.5789,-0.4227455
750.5431,0.2389328
751.5073,0.7648094
752.4716,0.6325989
753.4358,-0.4468231
754.4,-1.615916
755.3643,-1.532517
756.3285,-1.009551
757.2927,-1.056788
758.257,-1.91554
759.2212,-3.045452
760.1854,-3.368849
761.1497,-2.607278
762.1139,-1.958888
763.0781,-1.22892
764.0424,-0.7723786
765.0066,-1.087811
765.9708,-2.267711
766.9351,-2.942906
767.8993,-2.281298
768.8635,-1.49757
769.8278,-0.7809036
770.792,-0.3038246
771.7562,-0.3427864
772.7205,-1.222281
773.6847,-2.322639
774.6489,-2.358344
775.6132,-1.717067
776.5774,-1.289326
777.5416,-1.55407
778.5059,-2.312443
779.4701,-2.744462
780.4343,-2.344643
781.3986,-2.402369
782.3628,-3.583257
783.327,-4.826327
784.2913,-4.787739
785.2555,-3.060547
786.2197,-1.513415
787.184,-1.127741
788.1482,-1.125202
789.1124,-1.239494
790.0767,-1.337729
791.0409,-1.299884
792.0051,-0.9472939
792.9694,-0.4840675
793.9336,-0.7303413
794.8978,-1.623221
795.8621,-2.310898
796.8263,-2.126162
797.7905,-1.165781
798.7548,-0.7541023
799.719,-1.623431
800.6832,-2.207725
801.6475,-2.276711
802.6117,-2.051935
803.5759,-1.700951
804.5402,-1.214833
805.5044,-1.022592
806.4686,-2.245532
807.4329,-3.374449
808.3971,-2.849277
809.3613,-0.7269363
810.3256,1.613731
811.2898,2.374211
812.254,1.52048
813.2183,0.682814
814.1825,-0.3413124
815.1467,-0.7881027
816.111,0.118515
817.0752,2.269022
818.0394,3.96913
819.0037,4.980634
819.9679,5.599435
820.9321,5.435172
821.8964,5.121709
822.8606,5.560668
823.8248,7.115146
824.7891,8.649194
825.7533,8.259244
826.7175,7.209504
827.6818,6.981784
828.646,7.740766
829.6102,8.4643
830.5745,7.669848
831.5387,4.982205
832.5029,3.205302
833.4672,2.555305
834.4314,2.334611
835.3956,2.349813
836.3599,2.576276
837.3241,2.934885
838.2883,3.540374
839.2526,4.023775
840.2168,4.323168
841.181,4.427627
842.1453,4.22812
843.1095,3.729307
844.0737,3.218726
845.038,3.258907
846.0022,3.637573
846.9664,3.644038
847.9307,3.194632
848.8949,2.510785
849.8591,1.8078
850.8234,1.061845
851.7876,0.4571548
852.7518,-0.05102615
853.7161,-0.3820602
854.6803,-0.5526428
855.6445,-0.5248039
856.6088,-0.1602585
857.573,0.702356
858.5372,1.564673
859.5015,2.015604
860.4657,2.231978
861.4299,2.387086
862.3942,2.524625
863.3584,2.540807
864.3226,2.246112
865.2869,1.608208
866.2511,1.36835
867.2153,1.560471
868.1796,1.997842
869.1438,2.761506
870.108,3.77555
871.0723,4.33272
872.0365,3.980738
873.0007,3.604797
873.965,3.355621
874.9292,3.253735
875.8934,3.355216
876.8577,3.657372
877.8219,3.991817
878.7861,4.199246
879.7504,4.235419
880.7146,3.904178
881.6788,3.223425
882.6431,2.689596
883.6073,2.921696
884.5715,4.023409
885.5358,4.188535
886.5,2.495944
887.4642,1.083776
888.4285,0.464032
889.3927,0.3387848
890.3569,0.2612022
891.3212,0.1275803
892.2854,0.008403778
893.2496,-0.2541374
894.2139,-0.3530899
895.1781,0.1216751
896.1423,1.082487
897.1066,2.080084
898.0708,2.64296
899.035,2.754349
899.9993,2.298537
900.9635,1.131514
901.9277,0.2942299
902.892,0.3217033
903.8562,0.9977303
904.8204,1.718277
905.7847,2.632721
906.7489,3.208055
907.7131,3.433361
908.6774,3.311117
909.6416,2.593718
910.6058,1.445641
911.5701,0.4958405
912.5343,0.3438683
913.4985,0.6606048
914.4628,0.675737
915.427,0.4956093
916.3912,0.5566513
917.3555,1.142251
918.3197,2.043103
919.2839,2.454861
920.2482,1.834177
921.2124,1.635253
922.1766,2.20531
923.1409,2.849131
924.1051,3.057971
925.0693,2.825336
926.0336,2.502703
926.9978,2.016669
927.962,1.883033
928.9263,2.873326
929.8905,4.286741
930.8547,4.886585
931.819,4.114708
932.7832,2.772273
933.7474,2.772967
934.7117,4.527458
935.6759,5.333128
936.6401,4.66372
937.6044,3.667943
938.5686,3.251
939.5328,3.387342
940.4971,3.520152
941.4613,3.362323
942.4255,3.41191
943.3898,4.106107
944.354,4.94177
945.3182,5.369989
946.2825,5.201312
947.2467,4.680766
948.2109,3.947632
949.1752,3.192403
950.1394,3.028677
951.1036,3.491679
952.0679,3.954946
953.0321,3.722484
953.9963,2.88115
954.9606,3.172604
955.9248,6.399635
956.889,8.33573
957.8533,7.719989
958.8175,6.352516
959.7817,5.818326
960.746,6.418379
961.7102,7.433588
962.6744,8.516998
963.6387,9.617548
964.6029,10.08781
965.5671,10.51432
966.5314,12.06405
967.4956,15.48313
968.4598,20.64876
969.4241,26.89865
970.3883,26.54453
971.3525,49.7728
972.3168,97.5687
973.281,167.143
974.2452,286.868
975.2095,444.6909
976.1737,522.5023
977.1379,434.7161
978.1022,315.2504
979.0664,215.7654
980.0306,138.5147
980.9949,86.7785
981.9591,59.33245
982.9233,47.19817
983.8876,37.70601
984.8518,31.26364
985.816,28.01841
986.7803,28.69651
987.7445,30.05226
988.7087,30.03503
989.673,29.01781
990.6372,28.78723
991.6014,29.63618
992.5657,31.07873
993.5299,32.67728
994.4941,35.00224
995.4584,38.38334
996.4226,42.85701
997.3868,48.04571
998.3511,53.28471
999.3153,59.94761
1000.28,67.72958
1001.244,78.2298
1002.208,94.52183
1003.172,110.3029
1004.136,151.7938
1005.101,255.8187
1006.065,386.2716
1007.029,707.9324
1007.993,1566.477
1008.958,2201.989
1009.922,2254.875
1010.886,1895.703
1011.85,1419.853
1012.815,922.1117
1013.779,494.7322
1014.743,284.4369
1015.707,190.5156
1016.672,136.4776
1017.636,104.0447
1018.6,84.07757
1019.564,68.19061
1020.528,56.37176
1021.493,47.47531
1022.457,43.83653
1023.421,40.1398
1024.385,35.77699
1025.35,31.42382
1026.314,27.66427
1027.278,24.58181
1028.242,21.98158
1029.207,19.6315
1030.171,17.95051
1031.135,17.49302
1032.099,17.6812
1033.063,17.65088
1034.028,17.04675
1034.992,16.15587
1035.956,15.47906
1036.92,15.05767
1037.885,14.50503
1038.849,13.71861
1039.813,12.93421
1040.777,12.23778
1041.742,11.62564
1042.706,11.10097
1043.67,10.6757
1044.634,10.32154
1045.599,10.20124
1046.563,10.00058
1047.527,9.160017
1048.491,8.018728
1049.455,7.674745
1050.42,8.944415
1051.384,10.9886
1052.348,10.97892
1053.312,8.82651
1054.277,7.278056
1055.241,6.751882
1056.205,6.850855
1057.169,7.507826
1058.134,8.69368
1059.098,9.145511
1060.062,8.240538
1061.026,7.155334
1061.99,5.984347
1062.955,4.956007
1063.919,4.269059
1064.883,3.976925
1065.847,4.09205
1066.812,4.725238
1067.776,5.604665
1068.74,5.578692
1069.704,4.716038
1070.669,4.125292
1071.633,4.37185
1072.597,5.001044
1073.561,5.225198
1074.526,4.991156
1075.49,4.579613
1076.454,3.465424
1077.418,2.819816
1078.382,3.45853
1079.347,4.611635
1080.311,5.029952
1081.275,4.357822
1082.239,3.779689
1083.204,4.906046
1084.168,7.001149
1085.132,7.717214
1086.096,7.06486
1087.061,6.448227
1088.025,6.866987
1088.989,7.83344
1089.953,7.702943
1090.917,5.750133
1091.882,4.509308
1092.846,4.723375
1093.81,4.988648
1094.774,4.430118
1095.739,3.516563
1096.703,3.32671
1097.667,4.332236
1098.631,5.60449
1099.596,6.112116
1100.56,5.97944
