Raman_Shift_cm-1,Norway_2-2_Avg
378.1075,41.93264
379.0717,41.59155667
380.0359,41.74923333
381.0002,42.63208333
381.9644,44.20834
382.9286,45.42126333
383.8929,46.09267333
384.8571,46.34987
385.8214,46.56326
386.7856,47.24201667
387.7498,47.73315333
388.7141,46.76587667
389.6783,45.75461333
390.6425,47.01755333
391.6068,52.98338333
392.571,56.93303
393.5352,57.59131333
394.4995,56.29842667
395.4637,54.42091667
396.4279,52.64983
397.3922,50.93452667
398.3564,49.42524333
399.3206,47.97861333
400.2849,45.98274
401.2491,42.65441133
402.2133,37.948309
403.1776,35.7882981
404.1418,36.723186
405.106,38.904151
406.0703,40.186568
407.0345,39.44942433
407.9987,39.97699467
408.963,42.47526
409.9272,45.24665
410.8914,46.99687667
411.8557,47.28694
412.8199,47.63349333
413.7841,49.01139
414.7484,50.48917333
415.7126,51.30952
416.6768,51.05430667
417.6411,50.24691
418.6053,49.30438667
419.5695,48.68467
420.5338,49.44217
421.498,52.18508
422.4622,56.67662
423.4265,58.46982333
424.3907,57.07732667
425.3549,55.54153667
426.3192,55.70493
427.2834,58.21647333
428.2476,61.72865667
429.2119,64.34374
430.1761,66.67484667
431.1403,69.17698667
432.1046,72.02073333
433.0688,74.96588
434.033,79.6754
434.9973,84.55399
435.9615,87.87641
436.9257,89.09662
437.89,88.72613667
438.8542,88.40665
439.8184,88.64040333
440.7827,89.31356
441.7469,90.39079
442.7111,91.45884
443.6754,91.38372667
444.6396,87.34728
445.6038,84.58697
446.5681,85.17418
447.5323,87.64728667
448.4965,88.24928667
449.4608,83.81627333
450.425,80.28581333
451.3892,79.18588
452.3535,79.80681333
453.3177,81.36971
454.2819,84.03069
455.2462,85.19339333
456.2104,81.46699
457.1746,74.51492333
458.1389,67.67749
459.1031,64.54437667
460.0673,65.33587667
461.0316,65.26019
461.9958,63.60254667
462.96,62.39344667
463.9243,64.2508
464.8885,71.57337333
465.8527,75.35192667
466.817,72.54110667
467.7812,68.15111
468.7454,65.17486
469.7097,64.65262667
470.6739,65.08806
471.6382,66.04268
472.6024,66.70522333
473.5666,66.16663333
474.5309,64.20672
475.4951,61.57858667
476.4593,60.65902333
477.4236,61.00914
478.3878,61.0815
479.352,60.39129
480.3163,59.15511
481.2805,58.35052
482.2447,57.69839667
483.209,56.93239333
484.1732,56.17083667
485.1374,55.4117
486.1017,54.47122333
487.0659,52.87083333
488.0301,52.26824333
488.9944,53.67469333
489.9586,55.99933667
490.9228,57.63161333
491.8871,57.19367
492.8513,55.35083667
493.8155,53.60862333
494.7798,52.20684333
495.744,51.34983333
496.7082,51.14593667
497.6725,51.47910333
498.6367,51.53538333
499.6009,51.19849
500.5652,50.56204333
501.5294,49.65796667
502.4936,48.48442333
503.4579,47.79456667
504.4221,48.54858333
505.3863,49.02030667
506.3506,47.57905333
507.3148,44.25376667
508.279,42.17261333
509.2433,45.71878333
510.2075,50.51346
511.1717,54.76932333
512.1359,57.75205
513.1002,59.28845
514.0644,58.67577667
515.0286,56.32022667
515.9929,54.46129667
516.9571,53.28773
517.9213,52.53609333
518.8856,51.76566
519.8498,50.86559667
520.814,49.98540667
521.7783,48.69778667
522.7425,47.54739333
523.7067,47.33430667
524.671,48.70941667
525.6352,49.70661333
526.5994,49.95935333
527.5637,49.69432
528.5279,48.82867
529.4921,47.26105
530.4564,45.19158667
531.4206,42.45548
532.3848,39.34562
533.3491,37.3833
534.3133,37.56107333
535.2775,39.81719667
536.2418,41.54765667
537.206,42.38169333
538.1702,42.93834667
539.1345,43.27111
540.0987,43.20268667
541.0629,42.41714667
542.0272,40.71299333
542.9914,38.89361667
543.9556,36.70551
544.9199,34.60272
545.8841,33.163715
546.8483,32.792251
547.8126,33.10435933
548.7768,33.833717
549.741,34.52835333
550.7053,34.391773
551.6695,32.850812
552.6338,30.12211867
553.598,28.73116267
554.5623,29.055102
555.5265,29.43096733
556.4907,28.70793567
557.455,26.75571933
558.4192,25.441058
559.3834,25.52179533
560.3477,25.80225133
561.3119,26.05652767
562.2761,26.13863167
563.2404,25.91897067
564.2046,25.179052
565.1688,24.48745833
