loss_fraction_of_total,pct_of_total_SMMZ_to_RPHZR_loss,x_207Pb235U,y_206Pb238U
0.1,10.0,1.5984216154279371,0.13988288168952692
0.2,20.0,1.5491308341645,0.13556929104654017
0.30000000000000004,30.000000000000004,1.493834509436782,0.13073013648613202
0.4,40.0,1.4313638757480622,0.12526313567920824
0.5,50.0,1.3602258504742584,0.11903762428912487
0.6,60.0,1.2784821561722925,0.11188397758631459
0.7000000000000001,70.0,1.1835700247943262,0.10357791971253487
0.8,80.0,1.0720286604807165,0.09381658558318388
0.9,90.0,0.9390681211358695,0.08218079236377629
1.0,100.0,0.777863459204743,0.0680732675186028
