7.140112e+001,9.291960e+001
7.236536e+001,9.191412e+001
7.332959e+001,9.318462e+001
7.429382e+001,9.462901e+001
7.525806e+001,9.685243e+001
7.622229e+001,9.633476e+001
7.718652e+001,9.012668e+001
7.815076e+001,7.483500e+001
7.911499e+001,6.470012e+001
8.007922e+001,5.737248e+001
8.104346e+001,5.462363e+001
8.200769e+001,5.893433e+001
8.297192e+001,7.693785e+001
8.393616e+001,9.356898e+001
8.490039e+001,1.078537e+002
8.586462e+001,1.179158e+002
8.682886e+001,1.212381e+002
8.779310e+001,1.088854e+002
8.875733e+001,9.166273e+001
8.972157e+001,7.476208e+001
9.068580e+001,6.041557e+001
9.165003e+001,4.899038e+001
9.261427e+001,4.429652e+001
9.357850e+001,4.419355e+001
9.454273e+001,4.599210e+001
9.550697e+001,4.816712e+001
9.647120e+001,5.164205e+001
9.743543e+001,5.178613e+001
9.839967e+001,4.693018e+001
9.936390e+001,4.018566e+001
1.003281e+002,3.518313e+001
1.012924e+002,3.334064e+001
1.022566e+002,3.203538e+001
1.032208e+002,3.096265e+001
1.041851e+002,3.020075e+001
1.051493e+002,3.001230e+001
1.061135e+002,3.196706e+001
1.070778e+002,3.352678e+001
1.080420e+002,3.340302e+001
1.090062e+002,3.128275e+001
1.099705e+002,2.790768e+001
1.109347e+002,2.408959e+001
1.118989e+002,2.043915e+001
1.128632e+002,1.862411e+001
1.138274e+002,1.989680e+001
1.147916e+002,2.495162e+001
1.157559e+002,2.784159e+001
1.167201e+002,2.822194e+001
1.176843e+002,2.752901e+001
1.186486e+002,2.751331e+001
1.196128e+002,2.895441e+001
1.205770e+002,2.987250e+001
1.215413e+002,3.067528e+001
1.225055e+002,3.091547e+001
1.234697e+002,2.968964e+001
1.244340e+002,2.438658e+001
1.253982e+002,1.889810e+001
1.263624e+002,1.345883e+001
1.273267e+002,8.716187e+000
1.282909e+002,5.984283e+000
1.292551e+002,1.093703e+001
1.302194e+002,1.841827e+001
1.311836e+002,2.399871e+001
1.321478e+002,2.483436e+001
1.331121e+002,2.075847e+001
1.340763e+002,1.631210e+001
1.350405e+002,1.122014e+001
1.360048e+002,7.017297e+000
1.369690e+002,5.353461e+000
1.379332e+002,7.801520e+000
1.388975e+002,1.104212e+001
1.398617e+002,1.617059e+001
1.408259e+002,2.159987e+001
1.417902e+002,2.487000e+001
1.427544e+002,2.382249e+001
1.437186e+002,2.145036e+001
1.446829e+002,1.773845e+001
1.456471e+002,1.324339e+001
1.466113e+002,8.958435e+000
