Experiment,Duration_d,delta29Si_hz_permil,w_29SiO2_g,R_hz,m_SiO2_molecules,m_hz_molecules,rate_mol_hz_per_kgH2O_per_s,w_hz_g
14,3,6380,0.001768,0.3744612,1.745433584209836e+19,1.1680326024831458e+20,6.23573742334106e-06,0.035554143434067695
16,7,17891,0.002073,0.9585293399999999,2.0465406222098362e+19,4.880584988107376e+19,1.1166779711494849e-06,0.014856179385783121
15,19,13253,0.001695,0.72319722,1.6733653423278688e+19,5.388489746725764e+19,4.5422137637588523e-07,0.016402208032618288
