reaction_progress_eps,distance_from_edge_um,delta18O_CZ_permil
0.1,0.0,-48.69928115015974
0.1,35.557022978041225,-48.69928115015974
0.2,0.0,-47.3626651126651
0.2,73.85573356594455,-47.3626651126651
0.3,0.0,-46.096822995461416
0.3,115.49489744639638,-46.096822995461416
0.4,0.0,-44.89627855563743
0.4,161.31466373052683,-44.89627855563743
0.5,0.0,-43.75610632183907
0.5,212.55474740499173,-43.75610632183907
