reaction_progress_eps,distance_from_edge_um,delta29Si_CZ_increment_permil
0.01,3.4459164584448034,1617073.372195122
0.02,6.9151165776359935,1340987.8759666868
0.03,10.407997701907117,1112038.9278748136
0.04,13.924968137285775,922178.8245791137
0.05,17.466447571652527,764733.8608704845
0.06,21.032867515611564,634169.7446243042
0.07,24.624671765329232,525897.0628591791
0.08,28.242316888681675,436109.96090761194
0.09,31.88627273615477,361652.36416728795
0.1,35.557022978041225,299907.0400411656
0.11,39.255065669598906,248703.60052194222
0.12,42.98091384595581,206242.21165234235
0.13,46.735096148686345,171030.32819950342
0.14,50.518157486128814,141830.2297264174
0.15,54.330659729675546,117615.51391946808
0.16,58.173182448446745,97535.01788443691
0.17,62.04632368494334,80882.89922124037
0.18,65.95070077449166,67073.82520785787
0.19,69.88695121151855,55622.397977247965
0.2,73.85573356594455,46126.092468937335
0.21,77.85772845326444,38251.10741326511
0.22,81.89363956217791,31720.632001244227
0.23,85.96419474397501,26305.115805909838
0.24,90.07014716823775,21814.19993660816
0.25,94.21227654982586,18090.025801089698
0.26,98.3913904525581,15001.686274074385
0.27,102.60832567548894,12440.624227281189
0.28,106.86394972822241,10316.816676281962
0.29,111.15916240230395,8555.610414477733
0.3,115.49489744639638,7095.097904688846
0.31,119.87212435368308,5883.941189254166
0.32,124.2918502707603,4879.567327674183
0.33,128.7551220381948,4046.671930266396
0.34,133.26302837394095,3355.9781860745725
0.35000000000000003,137.8167022119446,2783.207764061838
0.36,142.41732320953855,2308.227414100063
0.37,147.0661204386528,1914.3412702293206
0.38,151.7643752774653,1587.703980190167
0.39,156.51342452091544,1316.8340323528214
0.4,161.31466373052683,1092.2101731706325
0.41000000000000003,166.16955084627182,905.9367289707677
0.42,171.0796100857953,751.4660679269788
0.43,176.04643615923885,623.3684465735922
0.44,181.07169883123387,517.1411508171249
0.45,186.15714786541156,429.0502226288353
0.46,191.3046183910916,355.99920900927776
0.47000000000000003,196.51603673673594,295.4203196662306
0.48,201.7934267804046,245.1841675280935
0.49,207.13891687392947,203.52491941354117
0.5,212.55474740499173,168.97822585513157
0.51,218.04327906990287,140.329748270109
0.52,223.60700193986727,116.57247417521246
0.53,229.24854541508665,96.87132004773709
0.54,234.97068917454803,80.5337776005624
0.55,240.77637524509186,66.98557166875912
0.56,246.6687213318043,55.75047406677581
0.5700000000000001,252.6510355734797,46.43356386025307
0.58,258.7268329124931,38.70734564020996
0.59,264.8998532987258,32.30023784797896
0.6,271.1740819832237,26.987026508080096
0.61,277.5537722002447,22.580948811578637
0.62,284.0434705878873,18.927128282772514
0.63,290.64804575949415,15.897130771079635
0.64,297.3727205130204,13.384449907724564
0.65,304.22310825667626,11.300763338113063
0.66,311.20525434043117,9.572828134044972
0.67,318.3256831196228,8.139906257500703
0.68,325.59145174565015,6.951629579390832
0.6900000000000001,333.01021188836444,5.966229407299711
0.7000000000000001,340.59028085685907,5.149068288980245
0.71,348.3407239152422,4.471422483544602
0.72,356.27145000817666,3.9094723034272283
0.73,364.3933236451888,3.443464836988431
0.74,372.7182963807328,3.057019620917237
0.75,381.25956222075126,2.7365528563703907
0.76,390.0317424583921,2.470799929673006
0.77,399.0511069936771,2.2504194538751765
0.78,408.3358412698702,2.067664912969658
0.79,417.90637077383786,1.9161123668528863
0.8,427.78575890833184,1.790434645682882
0.81,438.00019941294727,1.6862140964199503
0.8200000000000001,448.5796320894989,1.5997872994702023
0.8300000000000001,459.5585214640076,1.5281162971216309
0.84,470.9768539114408,1.4686818073691579
0.85,482.8814324661531,1.4193946695256427
0.86,495.3275846695995,1.3785224088749233
0.87,508.38145528627706,1.344628339067009
0.88,522.1231465447125,1.3165210616653242
0.89,536.6511193990476,1.2932125877224636
0.9,552.088529259042,1.2738836093308237
0.91,568.592637340181,1.2578547004206828
0.92,586.3693240808391,1.2445624344952002
0.93,605.6965118916868,1.2335395798252877
0.9400000000000001,626.9641634460036,1.2243986759526775
0.9500000000000001,650.7477034676817,1.2168184142046592
0.96,677.9563883488945,1.2105323434867905
0.97,710.1765337052657,1.2053195043548992
0.98,750.6490894317901,1.200996662147965
0.99,808.3453245164891,1.197411866171483
1.0,1030.3213249521393,1.1944391085324493
