reaction_progress_eps,distance_from_edge_um,delta29Si_CZ_permil
0.1,0.0,637500.79423077
0.1,35.557022978041225,637500.79423077
0.2,0.0,381035.43218390865
0.2,73.85573356594455,381035.43218390865
0.3,0.0,271722.3270491808
0.3,115.49489744639638,271722.3270491808
0.4,0.0,211147.5490445865
0.4,161.31466373052683,211147.5490445865
0.5,0.0,172657.32552083378
0.5,212.55474740499173,172657.32552083378
