Raman.Shift,Mud Tank,Run Product (0 Hr),Avg. Starting Material,Run Product (8 Hr),Run Product (1 Hr)
373.5278,68.3625,36.209016,3.5384690066666664,113.2722,42.31376333
374.4921,60.1227,30.784174,3.381617643333333,101.36435,36.37866889
375.4563,54.90373,27.1760692,3.2814985416666667,90.891255,32.28473
376.4205,53.40992,25.714522,2.9348796000000004,82.179585,30.38630444
377.3848,51.48725,24.39451,2.2120796833333336,75.03006,28.27993444
378.349,49.00988,23.349204,1.77475947,69.39748,25.69394778
379.3132,46.40542,22.32748,1.8003216333333334,64.91646,23.25026333
380.2775,43.59726,21.03287,1.9447508083333336,61.364065,21.56041667
381.2417,39.47053,19.184736,1.87346107,58.83703,20.94352778
382.2059,38.21313,17.7602892,1.4205571849999998,56.89345,20.24259556
383.1702,41.48141,16.868872,1.165942588,55.47487,19.10526556
384.1344,46.16122,16.2905936,1.2662050406666665,54.497655,17.98370667
385.0986,49.51012,15.9188862,1.4857422333333332,53.7836,17.20360667
386.0629,49.87212,15.751087,1.6470650000000002,53.163865,16.9252
387.0271,51.85838,15.7448608,1.6594582333333332,53.34541,16.97322922
387.9913,59.05072,15.3173894,1.6586568533333332,54.97935,16.87412944
388.9556,69.29356,15.1232592,1.8263614,57.448165,17.01028367
389.9198,82.30674,16.0184516,2.1035836210000003,60.49323,17.85075511
390.884,97.67871,18.558182,2.4116192186666665,63.894545,19.70362567
391.8483,112.6935,22.096438,2.6702571716666665,67.250625,22.29098111
392.8125,117.9891,24.499674,2.8384819300000004,69.535905,25.08942556
393.7767,115.4441,25.971714,2.8864747583333332,70.83716,27.92781889
394.741,108.1593,26.43547,2.8126537500000004,70.555535,29.41366444
395.7052,98.01192,25.735634,2.7310000533333336,68.09397,28.33572667
396.6694,84.33582,23.641162,2.8053018916666663,62.979775,24.07534889
397.6337,71.93987,21.539598,3.235133715,58.67871,20.93394333
398.5979,59.06028,19.1179772,3.226913585,54.44139,18.91910533
399.5621,48.38879,16.9789966,2.4209303566666667,51.27323,17.542936
400.5264,41.7249,15.477313,1.6133545233333333,49.990675,16.67358878
401.4906,39.6205,14.699785,1.2682561093333333,50.9116,16.36534967
402.4548,39.09312,14.231782,1.5045020426666664,52.120635,16.19046756
403.4191,39.58098,13.9157132,1.8061286250000002,51.877675,16.04662533
404.3833,40.77337,13.8059696,2.0341045016666666,52.57034,15.93815711
405.3475,42.86808,13.8914648,2.234659103333333,56.11523,15.75384411
406.3118,45.81566,14.1914338,2.359260326333333,62.979645,15.49398333
407.276,48.73009,14.880604,2.4049317796666667,70.473845,15.52453222
408.2402,49.47336,16.30565,2.5597944866666666,74.07389,16.34729222
409.2045,49.8968,18.1206834,3.395818188333333,76.65206,17.67512889
410.1687,51.89544,20.144276,4.485441566666666,80.747085,19.40083222
411.1329,56.30788,22.294732,5.2432732,87.57745,21.46630889
412.0972,62.68225,24.570112,5.373532123333334,96.809245,23.84500222
413.0614,69.17155,26.997288,4.95416642,107.85125,26.6296
414.0256,76.0924,29.641176,4.933702186666666,121.20385,29.94672
414.9899,81.18756,32.100948,5.407385486666667,131.09515,32.45443
415.9541,82.9421,34.403084,5.814082666666667,134.3242,33.29233778
416.9183,81.30431,36.529472,5.916193083333333,130.8361,32.44649778
417.8826,80.44717,37.478088,5.70979385,127.9679,32.29873333
418.8468,79.74077,36.064154,5.527434566666667,125.72015,33.45223333
419.811,80.51629,34.822802,5.588874266666667,124.11875,34.61521556
420.7753,83.31113,34.38872,5.615827499999999,122.5159,35.34062
421.7395,88.02386,34.762908,5.3239466,121.23285,35.70957333
422.7037,93.77744,35.378754,4.7260600833333335,122.11705,36.39167444
423.668,98.79126,35.398758,4.269362011666666,126.9408,37.43071
424.6322,106.345,36.109046,4.62654565,134.43355,39.35330111
425.5964,116.1111,37.832024,5.258375975,142.1928,42.07443667
426.5607,129.4735,40.719124,5.849581033333333,151.67605,45.83400556
