Raman.Shift,Zircon_005,Zircon_006,Zircon_007
299.2819,-1.3117166,1.31955275,-0.360857619
300.2461,-1.346307447,0.01679385,-0.050497976
301.2103,-1.246546715,-0.23868200000000006,0.362163684
302.1746,-1.722671467,0.8003825,-0.015135251000000016
303.1388,-1.8365039150000002,1.81977815,-0.744164864
304.103,-1.0068029840000001,2.53524604,-0.9992351070000001
305.0673,0.93117008,3.0377387999999996,-0.45793611999999995
306.0315,1.2923369500000002,3.27976446,-0.135210897
306.9957,-0.28292437499999995,2.1892347,-0.46934700900000004
307.96,-1.6647024799999999,1.6854461,-0.827511452
308.9242,-2.4799420750000003,2.341464985,-1.020783564
309.8884,-2.6151460999999996,4.2969333,-0.9180753500000001
310.8527,-2.60866486,5.8677464,-0.492369544
311.8169,-2.4793673739999997,6.2558157,0.12278631100000001
312.7811,-2.060646145,6.6974752,0.5329409890000001
313.7454,-1.651906195,7.2101738950000005,0.85548398
314.7096,-1.513238829,7.6843493,1.163235465
315.6738,-1.6652747200000002,7.897309,1.610881684
316.6381,-1.6315320400000002,8.1336875,2.341096989
317.6023,-0.674242345,10.0111793,3.114513733
318.5665,1.002617777,13.0393935,3.972789524
319.5308,2.81155109,15.743898,5.010356218
320.495,4.354270575,16.8789425,6.379276696
321.4592,4.180621899999999,15.458432299999998,7.503806916
322.4235,3.6443264500000003,16.1305075,7.468657266999999
323.3877,3.696173575,19.728561499999998,6.203661567
324.3519,4.12928845,23.424673900000002,5.058535647
325.3162,4.62234335,24.9441055,4.988086351
326.2804,4.47426165,25.402713000000002,6.226256716
327.2446,3.8998201999999997,28.538660999999998,7.159616851
328.2089,3.48014714,33.5337995,7.445111978
329.1731,3.6668659249999997,38.315846,7.491945729000001
330.1373,4.8122347,41.4796651,7.564319372
331.1016,6.610926699999999,43.79592685,8.100034911
332.0658,8.218504715,46.5330874,8.93364276
333.03,9.3695155,50.0915947,9.553927250000001
333.9943,10.49093155,53.9586957,10.24768804
334.9585,11.99196404,57.5356448,11.31709327
335.9227,14.076056475,60.904313,13.086279909999998
336.887,16.31344451,65.7301725,15.40691667
337.8512,18.4503499,72.897314,17.87281018
338.8154,20.58818675,82.25068850000001,20.51312502
339.7797,22.445413499999997,93.20468199999999,23.11375429
340.7439,23.270131375,105.156071,25.233536219999998
341.7081,24.41604375,119.31533999999999,28.05205538
342.6724,27.2135555,132.84046850000001,30.86542109
343.6366,31.91581625,150.61549,34.86568136
344.6008,37.7936235,174.47644300000002,40.19299131
345.5651,43.80911625,200.4453945,46.11566013
346.5293,52.696611250000004,246.9645235,55.23770284
347.4935,60.889380499999994,297.6549895,62.62188088999999
348.4578,72.4543355,372.905951,74.15978910999999
349.422,87.7143255,481.122815,90.2797929
350.3862,104.1705295,619.8824000000001,107.47838
351.3505,138.1579195,841.029315,147.8488282
352.3147,196.7011185,1224.05139,225.7142964
353.2789,279.90083999999996,1703.807655,336.6277858
354.2432,402.5911425,2207.1763800000003,493.087896
355.2074,581.3161175,2662.927105,709.7583829
356.1716,816.0836375,3046.15584,984.73543
357.1359,954.3346849999999,3109.058285,1120.967522
358.1001,998.5611225,2831.88599,1119.059868
359.0643,967.5039075,2393.48794,1030.660434
360.0286,867.0833675,1963.38003,892.0380931
360.9928,641.5433875,1508.118735,650.090414
361.957,463.53283500000003,1146.6776750000001,463.2073803999999
362.9213,338.2395575,884.640665,336.6957811
363.8855,248.26867125,688.1057,248.5977502
364.8497,182.17069425000003,534.7320725000001,184.6150064
365.814,141.5122505,425.06192550000003,146.1456991
366.7782,113.958616322,344.318303,119.2643485
367.7424,93.4995306,282.8944965,98.1281476
368.7067,77.640715425,234.4885865,81.95553762
369.6709,65.09435175,195.59205849999998,69.47780547
370.6351,55.120639499999996,163.9538045,59.685673200000004
371.5994,47.790707725000004,140.56784050000002,51.85794104
372.5636,41.2477085,123.0400115,44.15899696
373.5278,34.914967399999995,109.0307478,37.23385711
374.4921,29.50306155,97.2351013,31.64417711
375.4563,25.858910575,86.667404,27.981244000000004
376.4205,24.6023249,78.1696355,26.70381224
377.3848,23.852583550000002,71.68108600000001,25.53459584
378.349,23.09897205,66.4684005,23.548980819999997
379.3132,21.8387081,62.047397000000004,21.207133329999998
380.2775,20.244365275,58.433449499999995,19.445284469999997
381.2417,18.53952925,55.878169,18.92721232
382.2059,18.059420725,53.848139,18.72710348
383.1702,17.6284973,52.692274000000005,17.630408496
384.1344,16.582058418000003,52.8652555,15.52602623
385.0986,15.46843065,53.31776985,13.662665669999999
386.0629,14.769708,53.0959574,13.0332916
387.0271,14.69169455,52.39338575,14.00004502
387.9913,14.3969845,52.865516899999996,14.93239688
388.9556,14.33796755,54.752995750000004,15.01166037
389.9198,15.294260996999999,57.600806999999996,15.156617850000002
390.884,17.71315695,61.1169845,16.091353564000002
391.8483,20.884829025,64.8505105,17.89193307
392.8125,22.78078725,67.7242403,20.10453122
393.7767,24.139642225,69.3296211,22.60800529
